"date","RSAFS","RSFSXMV","RSMVPD","RSAOMV"
1992-01-01,164095,130617,33478,30167
1992-02-01,164213,130396,33817,30457
1992-03-01,163721,130385,33336,29891
1992-04-01,164709,130933,33776,30361
1992-05-01,165612,131255,34357,30847
1992-06-01,166077,131296,34781,31260
1992-07-01,167257,132058,35199,31729
1992-08-01,167800,133215,34585,31124
1992-09-01,169400,133510,35890,32369
1992-10-01,170625,134653,35972,32396
1992-11-01,171003,135075,35928,32336
1992-12-01,173105,136833,36272,32693
1993-01-01,175108,137487,37621,34021
1993-02-01,173744,137021,36723,33087
1993-03-01,172306,136351,35955,32430
1993-04-01,176749,138228,38521,34849
1993-05-01,178426,139420,39006,35267
1993-06-01,178157,139265,38892,35171
1993-07-01,180743,140453,40290,36479
1993-08-01,180707,140203,40504,36689
1993-09-01,181773,141570,40203,36342
1993-10-01,182884,142027,40857,37020
1993-11-01,184747,142670,42077,38267
1993-12-01,186399,143603,42796,39035
1994-01-01,185142,142482,42660,38676
1994-02-01,188074,144389,43685,39648
1994-03-01,191579,147104,44475,40435
1994-04-01,191639,146567,45072,40972
1994-05-01,190929,146831,44098,40081
1994-06-01,193130,148589,44541,40475
1994-07-01,193743,149266,44477,40339
1994-08-01,196163,150931,45232,41053
1994-09-01,197765,151451,46314,42187
1994-10-01,199571,152530,47041,42856
1994-11-01,199731,152528,47203,43014
1994-12-01,200702,153761,46941,42718
1995-01-01,201573,154349,47224,42991
1995-02-01,198399,152497,45902,41749
1995-03-01,200247,153566,46681,42482
1995-04-01,201032,153976,47056,42782
1995-05-01,202986,155268,47718,43442
1995-06-01,205500,155848,49652,45312
1995-07-01,204920,156088,48832,44520
1995-08-01,206521,156773,49748,45351
1995-09-01,207006,157818,49188,44783
1995-10-01,206176,156905,49271,44867
1995-11-01,208664,158801,49863,45343
1995-12-01,210399,160236,50163,45687
1996-01-01,208699,158350,50349,45865
1996-02-01,212008,159720,52288,47731
1996-03-01,213891,161543,52348,47809
1996-04-01,214676,163145,51531,46962
1996-05-01,216299,164099,52200,47604
1996-06-01,216068,164270,51798,47172
1996-07-01,216332,164328,52004,47359
1996-08-01,216358,164886,51472,46899
1996-09-01,219256,166072,53184,48567
1996-10-01,221060,167610,53450,48718
1996-11-01,220963,168253,52710,48006
1996-12-01,221991,169156,52835,48069
1997-01-01,223481,169471,54010,49223
1997-02-01,225422,170821,54601,49794
1997-03-01,226161,171928,54233,49373
1997-04-01,224615,170754,53861,49005
1997-05-01,222929,170738,52191,47406
1997-06-01,226057,171991,54066,49176
1997-07-01,228703,173448,55255,50346
1997-08-01,229309,173821,55488,50536
1997-09-01,230312,174978,55334,50355
1997-10-01,229836,174980,54856,49941
1997-11-01,230440,175126,55314,50318
1997-12-01,231181,175418,55763,50945
1998-01-01,231587,176093,55494,50551
1998-02-01,231684,176843,54841,49882
1998-03-01,233083,176948,56135,51122
1998-04-01,235986,178522,57464,52518
1998-05-01,237075,179193,57882,52842
1998-06-01,238971,179707,59264,54306
1998-07-01,237411,181091,56320,51326
1998-08-01,236379,181382,54997,50016
1998-09-01,238550,181354,57196,52181
1998-10-01,242549,183255,59294,54221
1998-11-01,244291,184474,59817,54802
1998-12-01,246530,186057,60473,55400
1999-01-01,246868,186333,60535,55418
1999-02-01,249520,188260,61260,56116
1999-03-01,250667,189026,61641,56554
1999-04-01,252477,190327,62150,56965
1999-05-01,254735,191524,63211,58046
1999-06-01,255449,191997,63452,58287
1999-07-01,257456,192947,64509,59314
1999-08-01,260230,194517,65713,60563
1999-09-01,261317,196167,65150,59792
1999-10-01,261818,197299,64519,59175
1999-11-01,264965,198696,66269,60835
1999-12-01,269863,203954,65909,60559
2000-01-01,268044,200365,67679,62306
2000-02-01,272020,202935,69085,63801
2000-03-01,275192,206759,68433,63027
2000-04-01,271046,205234,65812,60592
2000-05-01,271394,205613,65781,60492
2000-06-01,273422,206784,66638,61345
2000-07-01,272630,207425,65205,59995
2000-08-01,272918,207607,65311,60075
2000-09-01,277548,210698,66850,61360
