"date","MPCP00XXS","MPCP02XXS","MPCP03XXS","MPCP04XXS","MPCP05XXS","MPCP07XXS","MPCP08XXS","MPCP09XXS","MPCP11XXS","MPCP12XXS","MPCP13XXS","MPCP14XXS","MPCP15XXS","MPCPNRXXS","MPCPXXXXS","MPCT00XXS","MPCT01XXS","MPCT02XXS","MPCT03XXS","MPCT04XXS","MPCT05XXS","MPCT06XXS","MPCT07XXS","MPCT08XXS","MPCT09XXS","MPCT10XXS","MPCT11XXS","MPCT12XXS","MPCT13XXS","MPCT14XXS","MPCT15XXS","MPCT20IXS","MPCTNRXXS","MPCTXXXXS","MPCV00XXS","MPCV01XXS","MPCV02XXS","MPCV03XXS","MPCV04XXS","MPCV05XXS","MPCV06XXS","MPCV08XXS","MPCV09XXS","MPCV10XXS","MPCV11XXS","MPCV20IXS","MPCVNRXXS","MPCVXXXXS","PBAMUSCON","PBAMUSCONS","PBCADCON","PBCADCONS","PBCOMCON","PBCOMCONS","PBEDUCON","PBEDUCONS","PBHLTHCON","PBHLTHCONS","PBHWYCON","PBHWYCONS","PBNRESCON","PBNRESCONS","PBOFCON","PBOFCONS","PBPSCON","PBPSCONS","PBPWRCON","PBPWRCONS","PBRESCON","PBRESCONS","PBSWGCON","PBSWGCONS","PBTRANSCON","PBTRANSCONS","PBWSCON","PBWSCONS","PLODGCON","PLODGCONS","PNRESCON","PNRESCONS","PRAMUSCON","PRAMUSCONS","PRCMUCON","PRCMUCONS","PRCOMCON","PRCOMCONS","PREDUCON","PREDUCONS","PRHLTHCON","PRHLTHCONS","PRMFGCON","PRMFGCONS","PROFCON","PROFCONS","PRPWRCON","PRPWRCONS","PRRELCON","PRRELCONS","PRRESCON","PRRESCONS","PRTRANSCON","PRTRANSCONS","TLAMUSCON","TLAMUSCONS","TLCADCON","TLCADCONS","TLCMUCON","TLCMUCONS","TLCOMCON","TLCOMCONS","TLEDUCON","TLEDUCONS","TLHLTHCON","TLHLTHCONS","TLHWYCON","TLHWYCONS","TLLODGCON","TLLODGCONS","TLMFGCON","TLMFGCONS","TLNRESCON","TLNRESCONS","TLOFCON","TLOFCONS","TLPBLCON","TLPBLCONS","TLPRVCON","TLPRVCONS","TLPSCON","TLPSCONS","TLPWRCON","TLPWRCONS","TLRELCON","TLRELCONS","TLRESCON","TLRESCONS","TLSWDCON","TLSWDCONS","TLTRANSCON","TLTRANSCONS","TLWSCON","TLWSCONS","TTLCON","TTLCONS"
2002-02-01,6.4,-1.4,-14.9,-5.8,3.4,3.7,3.5,1,9.3,-1.4,3.5,2.7,3.5,1.1,1.2,2.2,-6.8,-2.9,-3.5,-1.2,2.7,-2.6,4.1,2.5,0.5,5.7,-3,-1.5,4.1,2.6,3,-8.3,-1,0.4,2.1,-6.9,-3.2,-2.8,-0.1,-0.2,-2.6,1.3,-1.2,5.2,-4,-8.2,-2.7,0.2,755,10392,277,3704,268,3644,4157,60748,353,4579,2969,61664,13691,214277,661,8837,640,8667,284,3981,423,5689,1119,16645,1318,19226,851,11717,905,10861,19177,256668,631,7925,1421,19831,4557,62196,977,13588,1629,20859,1959,25816,2934,38891,3040,40693,637,8517,25298,385745,412,6437,1386,18317,278,3712,1430,19943,4825,65840,5134,74336,1983,25438,2979,61801,922,11058,1972,25977,32868,470946,3595,47728,14113,219966,44475,642371,652,8818,3324,44674,637,8520,25721,391434,1149,17059,1729,25662,873,12063,58588,862338
2002-03-01,-2.7,3.6,-4.9,1.6,-3.7,-8.5,1.2,3.2,-23.9,-14.2,-4.1,-1.6,-10.2,-6.1,-6,-0.1,-0.2,-3.2,1.3,0.8,-2.8,-0.6,-8.9,-1.8,4.2,-4.3,-6.6,-14.2,-4.5,-0.9,-10.2,-3.8,-3.7,-2.1,-0.1,-0.5,-4.7,1.7,0.6,1,-0.6,-5.7,7.3,-3.9,-4.9,-3.8,-1.7,-0.7,816,10516,257,3328,248,3467,4205,58523,371,4652,2959,52889,13967,201253,728,9158,626,7933,222,3031,420,5536,1182,15960,1452,19835,865,11530,901,10810,19989,252252,614,7472,1434,19053,4854,63256,1051,13724,1716,20986,1981,24835,3002,37058,3211,38707,656,8469,29407,385406,497,6907,1430,17988,257,3332,1437,19092,5102,66722,5256,72247,2087,25639,2966,53009,920,11036,1994,24998,33956,453504,3730,46215,14386,206789,49396,637762,634,8035,3433,41738,656,8472,29826,390942,1208,16286,1950,26742,897,11954,63782,844551
2002-04-01,-4.9,3.9,-3.9,-2.3,3.6,-1.1,-8.4,-5.6,52.6,0.1,0.5,2.5,-7.9,1.1,0.9,3.4,9.7,1.1,-2.8,1.9,3.2,3.8,-0.1,-4,-4.2,0.3,-0.9,0.1,0.5,2.2,-7.7,-2.1,0.1,1.6,3.5,9.5,0.4,-2.7,2.8,1.4,3.8,2.2,-0.2,-0.8,-5,-2.2,-0.8,1.8,824,9628,244,3066,291,3331,4697,60631,387,4547,3766,52965,15791,203435,798,9511,638,7846,369,4626,430,5266,1272,16035,1479,18717,967,11823,986,11833,20705,250341,654,7636,1568,18895,4976,61548,1141,13922,1825,21570,1956,24301,3132,37198,3110,36754,710,8793,32578,398990,570,6893,1478,17264,245,3076,1589,19150,5267,64879,5838,74553,2211,26117,3772,53053,1009,12104,1971,24482,36496,453776,3930,46709,16221,208700,53283,649539,652,8025,3479,41380,710,8795,33008,404255,1296,16366,2049,25609,999,12213,69504,858240
2002-05-01,-6.2,5,2.8,-3.1,2.1,-0.4,-2,4.5,-1.3,6.1,-0.3,10.2,4.3,3.3,3.1,-1.3,-2.2,-2.3,-3.3,1.3,1.4,-3.2,0,-1.6,3.3,-2.2,-8.5,6.1,-0.8,9.6,4,-2.5,-0.4,-0.9,-1.2,-2.1,-4.2,-3.6,2.2,-1.9,-3.3,-1.1,0.1,-1.9,-9.4,-2.7,-3.5,-2.1,832,9437,256,3199,289,3423,5095,61914,370,4406,4985,56191,17937,210154,864,9984,654,7816,388,4565,438,4941,1417,15979,1652,19551,1082,13026,965,11581,20388,241636,658,7551,1558,18544,4931,59318,1194,13663,1889,22054,1958,23650,3090,35652,2753,33307,697,8506,34621,394223,626,6900,1490,16988,256,3199,1574,18735,5220,62741,6288,75577,2258,26459,4991,56278,987,11838,1976,23862,38325,451789,3954,45636,18375,215094,55009,635840,672,8023,3141,37871,697,8510,35059,399164,1436,16237,2278,26452,1109,13384,73384,850935
2002-06-01,9,-11.2,-6.3,4.3,-4.5,6,0.3,0.9,-13.9,-1.6,-0.9,-6.4,3.6,-2.7,-2.5,2,-7.2,-3.4,-2.8,4.6,-4.9,-5.7,6.1,1.2,1,2.8,-10.6,-1.5,-1.1,-6.2,4.4,-2.8,-2.7,-0.5,2,-8.2,-1.2,-2.6,4.7,-6.5,-5.7,2.4,1.4,3.7,-10.2,-2.8,-2.6,0.2,826,9465,260,3314,274,3209,5522,59135,391,4594,5582,55273,18913,204433,772,8869,685,8283,323,3929,468,5385,1425,15838,1740,19726,1063,12197,886,10633,20361,235344,662,7734,1585,19234,5087,57773,1164,12772,1997,23092,2008,22981,2940,35208,2623,29911,687,8021,37440,401920,637,7000,1488,17199,263,3340,1587,19256,5361,60982,6686,71907,2387,27686,5597,55427,916,10991,2027,23200,39273,439777,3711,44076,19381,209818,57801,636959,704,8509,2946,33839,688,8025,37908,407305,1443,16058,2376,26725,1094,12556,77182,846777
2002-07-01,2.9,2.9,5.1,3.8,2,-11.5,-1,-2.7,1.1,5.3,1.9,-4.4,8.1,1.6,1.6,0.7,-4.5,-0.6,-3.3,-0.3,1.3,0.7,-11.3,-2.2,-3.3,-2.7,0.3,5.3,1.6,-4.6,7.9,-4.8,-0.6,0,0.7,-4.7,-1.4,-3.8,-1.1,-1.8,0.7,-3.6,-5,-2.7,0.2,-4.8,-2.5,-0.5,805,9367,306,3582,287,3372,6003,60292,401,4770,6166,58189,19901,207608,761,9129,608,7332,360,3971,468,5539,1438,16138,1714,19201,1003,11655,845,10135,20082,229426,626,7456,1655,18707,4975,55599,1164,12540,1899,22832,1888,21868,2995,34703,2651,29958,698,8081,38412,404632,609,6653,1431,16824,308,3604,1657,18730,5261,58971,7168,72832,2299,27602,6180,58337,875,10496,1906,22090,39983,437034,3756,43832,20369,213148,58494,633982,627,7551,3010,33928,698,8085,38880,410171,1455,16322,2322,25854,1031,11976,78863,847129
2002-08-01,-6.5,-2.2,6.8,-2.2,1.5,0.3,2.2,0.5,-12.7,-1.6,-0.5,0.7,-3.2,-0.2,-0.3,-1.5,-3.7,-1.5,3.8,0.6,1.1,2.3,0.3,1.5,2.3,-4.1,-8.5,-1.6,-0.3,1.8,2.4,-5.7,-0.5,-1,-1.4,-5.2,-1.3,3.6,1.2,-0.9,2.3,0.7,7.5,-4.1,-7.9,-5.2,-0.9,-1.2,856,9570,316,3466,333,3600,6361,61219,382,4667,6607,57267,21055,207256,779,8925,643,7356,333,3466,453,5181,1522,16052,1809,19296,1063,11741,801,9613,20047,227442,636,7508,1539,17931,5272,57623,1190,12425,1919,23096,1772,20733,2924,34243,2448,27585,754,8263,37906,398875,668,7154,1492,17078,335,3689,1541,17956,5605,61223,7551,73643,2301,27763,6621,57418,843,10112,1780,20837,41101,434698,3703,43168,21507,212437,57953,626571,661,7577,2781,31051,754,8267,38359,404055,1545,16278,2477,26450,1113,12189,79460,839008
2002-09-01,1.1,-6.9,-2.6,7,1,-3.2,11.3,-2.1,-10.2,-1.2,-0.8,5,1.1,0.1,0.1,-1,2.8,-2.5,1.3,0.7,1,-3,-1.4,4.5,-2.4,-5.4,-4.8,-1.1,-1,4.3,1.6,-3.2,-0.6,-0.8,-1,2.6,-1.4,1.5,-0.6,1.1,-3,-4,-3,-5.5,-4.1,-3.4,-1.3,-1.1,969,10649,402,3504,368,3508,5848,61808,474,4996,6528,56598,20866,207471,789,8309,673,7119,301,3111,519,5240,1492,15926,1821,18882,1140,12329,822,9865,19594,224568,611,7205,1378,16938,5344,58489,1066,12557,1931,22955,1735,20028,2924,33767,2329,26442,708,8016,35563,394820,620,6936,1580,17854,423,3749,1383,16992,5711,61997,6914,74364,2405,27951,6549,56791,867,10398,1747,20168,40460,432040,3713,42076,21385,212711,55157,619424,702,7469,2630,29553,708,8022,36082,400059,1509,16121,2441,25818,1180,12718,76542,832134
2002-10-01,-4.3,5.1,3.9,-5.3,1,-4.3,-8.3,-3.7,40.9,1.8,-2.5,2.5,8.4,0.8,0.7,0.5,2.2,-1.1,-0.4,1.6,1.5,0.1,-4.3,-2.9,-3.5,4.9,12.3,1.6,-2.4,2.2,7.8,3.7,1.3,0.9,0.6,1.4,-2.6,-0.6,3.1,3.8,0.1,5.2,-3.1,5,9,3.3,1.8,1,861,9760,290,3800,309,3644,5407,62421,385,4733,5910,57615,19270,209130,725,8734,605,6812,406,4382,417,5014,1453,15522,1680,18190,1165,12634,834,10008,20214,228572,659,7580,1674,17784,5288,58129,1116,13036,2067,23659,1819,20691,2911,32887,2409,28820,726,8026,35809,397077,602,6721,1520,17340,310,4041,1678,17830,5597,61772,6524,75457,2452,28392,5917,57693,885,10624,1837,20908,39484,437702,3636,41621,19687,214144,56023,625547,632,7146,2815,33202,727,8030,36226,402091,1473,15734,2283,24911,1200,12999,75710,839690
2002-11-01,3.4,-1.7,1.3,1.5,-0.7,2.8,0,3.6,32.4,-2.2,1,-4,-1.1,0,0.1,1.1,-6.6,0.2,-1.1,0.3,-0.2,4.8,1.9,-3.7,2.1,-4,10.1,-2.1,0.7,-2.9,-1.2,0.5,0,0.6,1.1,-7.1,0.7,-1.3,0.1,2.5,4.8,-8.4,-2,-4,6.7,0.5,0.1,0.8,823,9756,321,3759,301,3692,4905,61959,405,4806,4684,56332,17384,209198,701,8586,626,7002,498,5803,426,5185,1359,15670,1648,18838,1041,12124,775,9296,19408,228716,571,6945,1482,17073,4901,57379,1076,13356,2051,23680,1819,20804,2834,33125,2479,30746,734,8410,34144,401424,573,6588,1394,16701,341,3993,1486,17111,5202,61071,5981,75315,2456,28486,4696,56464,827,9920,1835,21004,36792,437914,3535,41711,17810,214383,53552,630314,649,7279,2978,36549,734,8419,34570,406609,1374,15843,2221,25425,1084,12623,71362,844697
