"date","S42SMSM144SCEN","S423SMM144SCEN","S4231SM144SCEN","S4232SM144SCEN","S4233SM144SCEN","S42343M144SCEN","S4235SM144SCEN","S4236SM144SCEN","S4237SM144SCEN","S4238SM144SCEN","S4239SM144SCEN","S4241SM144SCEN","S4242SM144SCEN","S4243SM144SCEN","S4244SM144SCEN","S4245SM144SCEN","S4246SM144SCEN","S4247SM144SCEN","S4248SM144SCEN","S4249SM144SCEN","I42IMSM144SCEN","I4231IM144SCEN","I4232IM144SCEN","I4233IM144SCEN","I4234IM144SCEN","I42343M144SCEN","I4235IM144SCEN","I4236IM144SCEN","I4237IM144SCEN","I4238IM144SCEN","I4239IM144SCEN","I4241IM144SCEN","I4242IM144SCEN","I4243IM144SCEN","I4244IM144SCEN","I4245IM144SCEN","I4246IM144SCEN","I4247IM144SCEN","I4248IM144SCEN","I4249IM144SCEN","R42IRSM163SCEN","R423IRM163SCEN","R4231IM163SCEN","R4232IM163SCEN","R4233IM163SCEN","R4234IM163SCEN","R42343M163SCEN","R4235IM163SCEN","R4236IM163SCEN","R4237IM163SCEN","R4238IM163SCEN","R4239IM163SCEN","R424IRM163SCEN","R4241IM163SCEN","R4242IM163SCEN","R4243IM163SCEN","R4244IM163SCEN","R4245IM163SCEN","R4246IM163SCEN","R4247IM163SCEN","R4248IM163SCEN","R4249IM163SCEN"
1992-01-01,142980,67861,12652,2533,3980,NA,5696,9472,3655,11120,8403,4015,5491,5278,22849,8841,3138,10982,4302,10223,188403,21040,4346,5197,16674,NA,9188,15752,7034,26496,12071,4099,8317,9700,16971,7830,3452,4060,4978,11198,1.32,1.74,1.66,1.72,1.31,1.61,NA,1.61,1.66,1.92,2.38,1.44,0.94,1.02,1.51,1.84,0.74,0.89,1.1,0.37,1.16,1.1
1992-02-01,144206,69749,12942,2533,4166,NA,5834,9460,3650,11692,8931,3958,5473,5215,23062,8908,3147,10823,4323,9548,189335,21285,4390,5052,16650,NA,9410,15651,7055,26339,12305,4192,8451,9885,17109,7928,3523,4007,4898,11205,1.31,1.69,1.64,1.73,1.21,1.58,NA,1.61,1.65,1.93,2.25,1.38,0.96,1.06,1.54,1.9,0.74,0.89,1.12,0.37,1.13,1.17
1992-03-01,145306,70226,13032,2555,4132,NA,5854,9317,3621,12244,8896,4007,5515,5105,23047,9130,3197,11128,4199,9752,190547,21565,4355,5092,16120,NA,9374,15609,7018,26769,12562,4288,8440,10321,17241,7944,3628,4020,5060,11141,1.31,1.69,1.65,1.7,1.23,1.52,NA,1.6,1.68,1.94,2.19,1.41,0.96,1.07,1.53,2.02,0.75,0.87,1.13,0.36,1.21,1.14
1992-04-01,145381,71014,12876,2586,4203,NA,5747,9309,3773,12285,8847,4003,5444,4860,22925,8902,3140,11126,4397,9570,189951,21122,4581,5401,16149,NA,9384,15892,7105,26976,11755,4309,8469,10217,17528,7741,3700,3915,4840,10867,1.31,1.67,1.64,1.77,1.29,1.42,NA,1.63,1.71,1.88,2.2,1.33,0.96,1.08,1.56,2.1,0.76,0.87,1.18,0.35,1.1,1.14
1992-05-01,144000,69791,12821,2548,4261,NA,5774,9104,3700,11942,8639,3992,5518,5084,22511,8955,3230,11287,4159,9473,189115,21027,4437,5257,16357,NA,9408,15705,7172,26686,12080,4346,8372,10215,17669,7668,3629,3909,4826,10352,1.31,1.69,1.64,1.74,1.23,1.49,NA,1.63,1.73,1.94,2.23,1.4,0.96,1.09,1.52,2.01,0.78,0.86,1.12,0.35,1.16,1.09
1992-06-01,145989,71730,13162,2618,4324,NA,5829,9296,3726,12406,9397,3859,5653,4769,22342,8743,3312,11995,4091,9495,192831,21078,4409,5298,16873,NA,9448,15795,7116,27386,12882,4439,8721,10474,17804,7405,3734,4047,4920,11002,1.32,1.68,1.6,1.68,1.23,1.54,NA,1.62,1.7,1.91,2.21,1.37,0.98,1.15,1.54,2.2,0.8,0.85,1.13,0.34,1.2,1.16
1992-07-01,148808,72301,13070,2506,4236,NA,5927,9502,3748,11871,10157,4167,5616,5229,23035,9285,3358,12037,4109,9671,191989,21032,4403,5418,16357,NA,9283,15875,7194,27486,12422,4450,8716,10433,17799,7126,3818,4014,4912,11251,1.29,1.65,1.61,1.76,1.28,1.45,NA,1.57,1.67,1.92,2.32,1.22,0.95,1.07,1.55,2,0.77,0.77,1.14,0.33,1.2,1.16
1992-08-01,147427,71985,13130,2517,4282,NA,6232,9384,3627,12417,9307,3963,5562,5443,22690,9383,3354,11433,4116,9498,192602,21219,4334,5400,16754,NA,9274,15838,7189,27772,12792,4488,8718,10187,17729,7055,3726,3973,4922,11232,1.31,1.67,1.62,1.72,1.26,1.51,NA,1.49,1.69,1.98,2.24,1.37,0.95,1.13,1.57,1.87,0.78,0.75,1.11,0.35,1.2,1.18
1992-09-01,149251,72287,13300,2576,4384,NA,5879,9258,3664,12705,9484,3958,5512,5180,22942,10279,3348,11695,4093,9957,193344,21860,4327,5427,16870,NA,9379,15917,7051,27641,12780,4605,8856,10239,17525,7237,3566,4060,4771,11233,1.3,1.68,1.64,1.68,1.24,1.53,NA,1.6,1.72,1.92,2.18,1.35,0.94,1.16,1.61,1.98,0.76,0.7,1.07,0.35,1.17,1.13
1992-10-01,149276,72932,13661,2497,4333,NA,5621,9364,3650,12970,9442,3987,5661,5456,22752,9159,3338,12029,4095,9867,193625,22020,4328,5528,16272,NA,9457,16639,7009,27215,12774,4629,8990,10292,17408,7169,3579,4138,4779,11399,1.3,1.66,1.61,1.73,1.28,1.43,NA,1.68,1.78,1.92,2.1,1.35,0.95,1.16,1.59,1.89,0.77,0.78,1.07,0.34,1.17,1.16
1992-11-01,149801,74205,13504,2782,4348,NA,6025,9858,3733,12627,9653,3994,5585,5330,22763,9154,3120,11507,4169,9974,195300,22261,4406,5499,16689,NA,9425,16418,6891,27913,12866,4587,8729,10263,17746,7058,3742,4153,4845,11809,1.3,1.65,1.65,1.58,1.26,1.43,NA,1.56,1.67,1.85,2.21,1.33,0.96,1.15,1.56,1.93,0.78,0.77,1.2,0.36,1.16,1.18
1992-12-01,148469,73770,13202,2681,4210,NA,6020,9941,3731,12676,9789,4053,5735,5401,23010,8880,3346,11130,4169,8975,196914,22559,4496,5593,16720,NA,9410,16716,6831,28224,12886,4520,9249,10432,17765,7117,3661,4127,4710,11898,1.33,1.67,1.71,1.68,1.33,1.45,NA,1.56,1.68,1.83,2.23,1.32,0.98,1.12,1.61,1.93,0.77,0.8,1.09,0.37,1.13,1.33
1993-01-01,153497,77007,13633,2704,4652,NA,6107,10156,3739,13174,10441,4037,5731,5378,24373,8703,3343,10554,4124,10247,197552,21993,4451,5846,16638,NA,9422,16614,6990,28329,13030,4506,9701,10377,17685,7360,3787,4290,4723,11810,1.29,1.6,1.61,1.65,1.26,1.34,NA,1.54,1.64,1.87,2.15,1.25,0.97,1.12,1.69,1.93,0.73,0.85,1.13,0.41,1.15,1.15
1993-02-01,152528,76934,13368,2683,5179,NA,5880,10321,3762,13114,9565,4093,5745,5151,23494,8690,3466,10953,4107,9895,197207,21789,4460,5851,16700,NA,9458,16620,6942,28405,13174,4448,9486,10235,17857,7374,3795,4195,4717,11701,1.29,1.6,1.63,1.66,1.13,1.28,NA,1.61,1.61,1.85,2.17,1.38,0.98,1.09,1.65,1.99,0.76,0.85,1.09,0.38,1.15,1.18
