"sic_coin.date","sic_coin.values","sic_ad.values"
2021-02-01,100.4,104.2
2021-01-01,100.1,102.9
2020-12-01,100.2,102.4
2020-11-01,100.8,100.9
2020-10-01,99.3,99.7
2020-09-01,98.2,98.1
2020-08-01,97.1,98.1
2020-07-01,94.8,95.7
2020-06-01,89.2,93.6
2020-05-01,79.7,83.5
2020-04-01,81.8,80.1
2020-03-01,107.3,98.2
2020-02-01,108.7,103.1
2020-01-01,110.2,104.3
2019-12-01,109.6,104.6
2019-11-01,110,104
2019-10-01,109.8,103.9
2019-09-01,111.2,104.5
2019-08-01,111.8,104.2
2019-07-01,112.1,105.5
2019-06-01,112.2,105.6
2019-05-01,111.5,105.6
2019-04-01,112.6,106.6
2019-03-01,111.6,105.7
2019-02-01,112.8,105.9
2019-01-01,112.1,105.7
2018-12-01,110.7,104.1
2018-11-01,112.1,104.4
2018-10-01,113.1,107.2
2018-09-01,113.2,107.3
2018-08-01,112.8,106.3
2018-07-01,113.3,107
2018-06-01,113.1,105.6
2018-05-01,113.7,105.5
2018-04-01,112.4,105.7
2018-03-01,113.3,105.3
2018-02-01,112,104.9
2018-01-01,111.6,104.8
2017-12-01,112.4,105.2
2017-11-01,111.4,104
2017-10-01,111,103.5
2017-09-01,109.2,104
2017-08-01,111,103.4
2017-07-01,110.6,102.8
2017-06-01,111.1,102.5
2017-05-01,110.2,101.6
2017-04-01,110.6,101.7
2017-03-01,110.9,101.9
2017-02-01,110.2,100.7
2017-01-01,110.2,100.4
2016-12-01,110.2,100.5
2016-11-01,110.1,100.2
2016-10-01,109.9,100.1
2016-09-01,108.8,99.1
2016-08-01,108.5,99.2
2016-07-01,108.6,98.9
2016-06-01,108.2,98.9
2016-05-01,107.7,99.1
2016-04-01,107.4,98.7
2016-03-01,106.8,98.3
2016-02-01,107.5,96.8
2016-01-01,106.9,96.8
2015-12-01,105.6,97.6
2015-11-01,105.9,99
2015-10-01,105.9,98.6
2015-09-01,107,98.9
2015-08-01,106.7,99.2
2015-07-01,105.8,100.4
2015-06-01,105,100.6
2015-05-01,104.3,100.2
2015-04-01,105.3,101.1
2015-03-01,104.4,99.8
2015-02-01,103.6,99.7
2015-01-01,103.8,98.7
2014-12-01,103.9,100.3
2014-11-01,103.6,102.2
2014-10-01,103.2,102.3
2014-09-01,102.4,102.2
2014-08-01,102.2,102.2
2014-07-01,101.3,101.6
2014-06-01,102.6,102.3
2014-05-01,102.3,101.6
2014-04-01,101.3,101.6
2014-03-01,100.6,101.2
2014-02-01,100.3,101.1
2014-01-01,99.7,100.3
2013-12-01,100.3,101
2013-11-01,100.3,100.3
2013-10-01,100.3,99.9
2013-09-01,100.1,99.8
2013-08-01,100.4,99.9
2013-07-01,99.8,99.8
2013-06-01,99.6,99.1
2013-05-01,100.2,100.6
2013-04-01,98.9,99.9
2013-03-01,100.2,100.1
2013-02-01,100.2,100.1
2013-01-01,99.8,99.5
2012-12-01,99.1,98.5
2012-11-01,100.2,98.6
2012-10-01,99.6,98.5
2012-09-01,100.1,98.6
2012-08-01,99.2,97.9
2012-07-01,99.7,98
2012-06-01,99.1,96.6
2012-05-01,98.3,96.7
2012-04-01,98.6,97.5
2012-03-01,98.4,97.8
2012-02-01,97.8,97.3
2012-01-01,98.2,97.3
2011-12-01,97.9,96.6
2011-11-01,97.3,96.2
2011-10-01,96.9,95.2
2011-09-01,96,94.8
2011-08-01,96,95.3
2011-07-01,95.9,95.9
2011-06-01,95.8,96.3
2011-05-01,95.7,95.7
2011-04-01,95.3,95.6
2011-03-01,94.8,94.7
2011-02-01,94.3,94.7
2011-01-01,94.7,95.1
2010-12-01,94.5,93.9
2010-11-01,93.7,93.1
2010-10-01,93.7,92.5
2010-09-01,92.7,91.3
2010-08-01,93.5,90.7
2010-07-01,92.8,90.9
2010-06-01,92.8,90.5
2010-05-01,92.2,90.6
2010-04-01,92.5,91.9
2010-03-01,92.7,90.7
2010-02-01,91.3,89.8
2010-01-01,90.6,90.8
2009-12-01,91.1,89.3
2009-11-01,90.4,88.8
2009-10-01,89.5,87.7
2009-09-01,89,87.2
2009-08-01,88.9,86.9
2009-07-01,89.8,86.1
2009-06-01,89,85.8
2009-05-01,88.2,85
2009-04-01,89.2,84.1
2009-03-01,90.6,82.6
2009-02-01,91.3,82.4
2009-01-01,92.5,83.2
2008-12-01,95.5,84.1
2008-11-01,97.1,86.2
2008-10-01,99.7,88.3
2008-09-01,99.5,91.9
2008-08-01,100.1,93.4
2008-07-01,101,94.1
2008-06-01,101.8,94.7
2008-05-01,101.4,94.4
2008-04-01,101.3,93.7
2008-03-01,101.1,93.6
2008-02-01,101.7,93.7
2008-01-01,101.7,92.9
2007-12-01,100.9,93.3
2007-11-01,101.2,92.8
2007-10-01,101.4,92.5
2007-09-01,102,91.7
2007-08-01,101,90.5
2007-07-01,101.8,90.3
2007-06-01,101.3,89.9
2007-05-01,101,89.9
2007-04-01,100.9,89.5
2007-03-01,99.5,89.5
2007-02-01,100.1,89.5
2007-01-01,99.5,89.1
2006-12-01,99.6,89.3
2006-11-01,99.6,88.7
2006-10-01,99.7,88.5
2006-09-01,99.4,88
2006-08-01,99.6,88.1
2006-07-01,99,87.8
2006-06-01,99.4,86.6
2006-05-01,99.9,86.8
2006-04-01,98.6,87
2006-03-01,98,86.8
2006-02-01,98.1,86.9
2006-01-01,98.4,87
2005-12-01,98.6,86.1
2005-11-01,97.4,85.3
2005-10-01,96,84
2005-09-01,96.1,83.1
2005-08-01,95.6,82.8
2005-07-01,93.6,82.4
2005-06-01,94.4,82
2005-05-01,95.6,81.5
2005-04-01,94.7,80.6
2005-03-01,94.9,80.9
2005-02-01,94.9,80.9
2005-01-01,94.6,80.7
2004-12-01,94.2,79.2
2004-11-01,94.2,79.9
2004-10-01,93.8,80.5
2004-09-01,93.4,78.8
2004-08-01,92.3,78.4
2004-07-01,93.3,78.4
2004-06-01,92.9,78.4
2004-05-01,93.5,78.3
2004-04-01,93.2,78.1
2004-03-01,93,79
2004-02-01,91.7,77.7
2004-01-01,92.1,77.8
2003-12-01,91.7,76.8
2003-11-01,90.5,76.6
2003-10-01,90.3,76.6
2003-09-01,90.2,75.9
2003-08-01,90,76.5
2003-07-01,91,77
2003-06-01,91.3,76.5
2003-05-01,91.4,76.2
2003-04-01,91.7,75.8
2003-03-01,91.6,75.4
2003-02-01,92.8,76.9
2003-01-01,92.1,76.8
2002-12-01,93,76.8
2002-11-01,92.6,76.3
2002-10-01,93,76.7
2002-09-01,92.5,76.6
2002-08-01,93,76.9
2002-07-01,92.7,76.6
2002-06-01,92.7,76.5
2002-05-01,92.9,77.7
2002-04-01,92.8,78.7
2002-03-01,92.2,77.3
2002-02-01,92.5,76.4
2002-01-01,92,76.2
2001-12-01,93.9,76.4
2001-11-01,94.1,75.7
2001-10-01,93.4,75.3
2001-09-01,95.2,76.2
2001-08-01,95.8,77.4
2001-07-01,95.7,77.2
2001-06-01,95.8,77.5
2001-05-01,95.8,76.7
2001-04-01,95.9,75.2
2001-03-01,97.2,75.7
2001-02-01,97.5,75.8
2001-01-01,98.2,76.4
2000-12-01,97.2,76
2000-11-01,98.6,77.1
2000-10-01,99.1,78.1
2000-09-01,99,78.4
2000-08-01,98.4,78.5
2000-07-01,98.7,78
2000-06-01,98.3,78.2
2000-05-01,97.2,77.9
2000-04-01,96.2,77.3
2000-03-01,95.7,78.6
2000-02-01,95.7,78.5
2000-01-01,95.4,77.2
1999-12-01,93.2,77.3
1999-11-01,93.1,75.9
1999-10-01,92.3,73.6
1999-09-01,92.1,73.6
1999-08-01,91.2,73
1999-07-01,91.5,73.4
1999-06-01,91.1,72.5
1999-05-01,90.7,72.3
1999-04-01,89.9,71.8
1999-03-01,91,71.2
1999-02-01,89.1,67.5
1999-01-01,89.3,66.9
1998-12-01,88.7,65.9
1998-11-01,88.1,65.9
1998-10-01,87.5,66.3
1998-09-01,87.9,65.7
1998-08-01,88.7,67.4
1998-07-01,87.8,69.5
1998-06-01,87.2,69.3
1998-05-01,87.5,69.8
1998-04-01,87.9,70
1998-03-01,87.7,69.7
1998-02-01,86.9,69.5
1998-01-01,85.4,69.5
1997-12-01,85.2,69.9
1997-11-01,85.5,69.8
1997-10-01,85.6,70.2
1997-09-01,84.4,70.3
1997-08-01,84,69.9
1997-07-01,83.6,69.6
1997-06-01,82.7,68.5
1997-05-01,81.5,68.5
1997-04-01,80.6,67.4
1997-03-01,79.2,66.6
1997-02-01,78.8,67.5
1997-01-01,77.8,66.9
1996-12-01,77.5,66.5
1996-11-01,76.4,64.9
1996-10-01,75.4,65.4
1996-09-01,74.3,65.3
1996-08-01,74.2,64.7
1996-07-01,74.1,63.7
1996-06-01,73.7,63.6
1996-05-01,73.1,62.9
1996-04-01,72.2,62.1
1996-03-01,71.8,60.7
1996-02-01,71.2,60.3
1996-01-01,70.9,60.2
1995-12-01,70,58.7
1995-11-01,68.3,56.2
1995-10-01,65.3,57.4
1995-09-01,67.4,58.4
1995-08-01,66.6,58
1995-07-01,67,57.1
1995-06-01,67.5,56.5
1995-05-01,67.6,55.3
1995-04-01,69.3,52.7
1995-03-01,72.4,52.1
1995-02-01,74.2,57.9
1995-01-01,79.8,61.6
1994-12-01,79.7,68
1994-11-01,82.7,69.7
1994-10-01,82.2,69.7
1994-09-01,82.3,69.7
1994-08-01,82.5,70.2
1994-07-01,81.7,70.2
1994-06-01,82.2,70.3
1994-05-01,82.1,70.6
1994-04-01,82.5,70.5
1994-03-01,80.9,70.7
1994-02-01,80.8,70.8
1994-01-01,79.7,70.7
1993-12-01,80.8,69.4
1993-11-01,77.5,68.1
1993-10-01,78.5,67.9
1993-09-01,78.2,67.3
1993-08-01,79.7,67.8
1993-07-01,81,67.7
1993-06-01,81,67.3
1993-05-01,82.3,67.9
1993-04-01,80.7,67.8
1993-03-01,81.9,68.2
1993-02-01,82,66.9
1993-01-01,81.3,66.5
1992-12-01,81.9,69
1992-11-01,81.7,69.1
1992-10-01,86.3,68.6
1992-09-01,82.4,68.6
1992-08-01,82.5,68.1
1992-07-01,83.3,69.1
1992-06-01,83.6,69.6
1992-05-01,83.5,70.1
1992-04-01,83.7,69.6
1992-03-01,84.7,69.3
1992-02-01,82.7,68.7
1992-01-01,81.9,67.1
1991-12-01,83,67.8
1991-11-01,82.9,67.7
1991-10-01,82.3,68.1
1991-09-01,80.1,66.9
1991-08-01,81,67.3
1991-07-01,81,67.3
1991-06-01,81.5,66.2
1991-05-01,81.4,66.5
1991-04-01,80.4,66
1991-03-01,79.5,64.4
1991-02-01,79.1,63.6
1991-01-01,78.6,64.1
1990-12-01,78.3,64.2
1990-11-01,78.6,64.7
1990-10-01,76.6,64.3
1990-09-01,76.6,64.6
1990-08-01,76,64.3
1990-07-01,75,63.1
1990-06-01,74.6,61.9
1990-05-01,73.5,61.1
1990-04-01,73.5,60
1990-03-01,72.3,60.1
1990-02-01,70.9,60.2
1990-01-01,71.1,60.3
1989-12-01,70,60.6
1989-11-01,69,59.8
1989-10-01,69.3,59.6
1989-09-01,69.2,60.4
1989-08-01,68,60
1989-07-01,68.3,58.3
1989-06-01,67.7,58.6
1989-05-01,66.5,58.1
1989-04-01,66.4,57.9
1989-03-01,65.3,57
1989-02-01,65.4,56.8
1989-01-01,64.8,56.2
1988-12-01,64.6,55.8
1988-11-01,63.8,55.9
1988-10-01,63.7,55.2
1988-09-01,61.8,55.6
1988-08-01,61.7,56
1988-07-01,60.8,55.4
1988-06-01,61.4,54.8
1988-05-01,61.3,53.5
1988-04-01,60.4,50.7
1988-03-01,60.7,47
1988-02-01,60.6,45.5
1988-01-01,60.5,45.8
1987-12-01,60.5,47.2
1987-11-01,61.4,49.2
1987-10-01,60.8,51.2
1987-09-01,60.6,52.3
1987-08-01,59.8,52
1987-07-01,59.1,51.3
1987-06-01,58.6,50.5
1987-05-01,57.8,49.9
1987-04-01,58.1,49.4
1987-03-01,56.8,48.2
1987-02-01,56.2,47.7
1987-01-01,55.7,47.1
1986-12-01,55.7,47.1
1986-11-01,55,46.9
1986-10-01,55.2,46.9
1986-09-01,55.6,46.8
1986-08-01,55.8,47.2
1986-07-01,56,47.2
1986-06-01,57.2,48.4
1986-05-01,57.8,49.1
1986-04-01,57.4,49.5
1986-03-01,58.3,49.8
1986-02-01,58.3,51.7
1986-01-01,58.2,53.1
1985-12-01,59.6,53.7
1985-11-01,59.7,54.4
1985-10-01,59.6,54.5
1985-09-01,60.5,54.5
1985-08-01,60.2,54.4
